id,title,displayTitle,publishedAt,views,likes,dislikes
adDD43CvrUc,"Rich Brian - Glow Like Dat","Rich Brian - Glow Like Dat",2017-08-15T14:00:04.000Z,69348924,801843,26076
K3Qzzggn--s,"Joji - SLOW DANCING IN THE DARK","Joji - SLOW DANCING IN THE DARK",2018-09-12T14:00:08.000Z,63768533,1427725,22191
R2zXxQHBpd8,"joji - will he","joji - will he",2017-10-18T14:00:05.000Z,41355203,803970,14120
s1CY9AYUa7U,"Rich Brian x Keith Ape x XXXTentacion - Gospel (Prod. RONNYJ)","Rich Brian x Keith Ape x XXXTentacion - Gospel (Prod. RONNYJ)",2017-05-11T19:00:13.000Z,37570084,473274,10810
tG7wLK4aAOE,"Joji - YEAH RIGHT","Joji - YEAH RIGHT",2018-05-08T14:00:03.000Z,36370297,652913,12100
VPSoNx1gyQ4,"88RISING - Midsummer Madness ft. Joji, Rich Brian, Higher Brothers, AUGUST 08 (Official Music Video)","88RISING - Midsummer Madness ft. Joji, Rich Brian, Higher Brothers, AUGUST 08",2018-06-07T09:27:15.000Z,34404878,579105,9183
_D9rN-hX0hE,"Rich Brian - Who That Be (Official Music Video)","Rich Brian - Who That Be",2016-11-29T14:59:57.000Z,29905742,344026,6817
9oMQrrPr5OY,"Keith Ape x Ski Mask The Slump God - Achoo! (Official Music Video)","Keith Ape x Ski Mask The Slump God - Achoo!",2017-10-02T15:00:16.000Z,26191466,364796,11739
d4bR7ZqrBlI,"Rich Brian - Chaos","Rich Brian - Chaos",2017-10-05T14:28:36.000Z,25856802,415399,11259
zbxAB7rTpDc,"Joji ft. Clams Casino - CAN'T GET OVER YOU","Joji ft. Clams Casino - CAN'T GET OVER YOU",2018-10-02T13:59:29.000Z,23754803,492370,12703
PEBS2jbZce4,"Joji - TEST DRIVE","Joji - TEST DRIVE",2018-10-16T14:00:07.000Z,20325309,427300,6197
6DrNC-xQcGs,"Rich Brian - History (Official Video)","Rich Brian - History",2018-10-10T14:00:03.000Z,20041247,372929,4938
UY3mAoqQh0k,"joji - i don't wanna waste my time (OFFICIAL)","joji - i don't wanna waste my time",2017-04-26T13:59:35.000Z,19116391,306715,3939
Yw1tCJ1y34o,"joji - demons","joji - demons",2017-12-06T13:59:44.000Z,18608034,318823,5678
Q17z9a03YaM,"Rich Brian - Cold (Official Music Video)","Rich Brian - Cold",2018-02-20T13:51:08.000Z,16334100,286827,5490
rILKm-DC06A,"Higher Brothers x Famous Dex - Made In China (Prod. Richie Souf)","Higher Brothers x Famous Dex - Made In China (Prod. Richie Souf)",2017-03-28T13:55:13.000Z,16096472,219949,9174
nfLLaqral8A,"Diplo, Rich Brian, Young Thug, & Rich The Kid - Bankroll (Official Audio)","Diplo, Rich Brian, Young Thug, & Rich The Kid - Bankroll",2017-06-07T12:44:26.000Z,14562284,194443,3871
Z4eARl9omVs,"Rich Brian - Dat $tick Remix feat Ghostface Killah and Pouya (Official Video)","Rich Brian - Dat $tick Remix feat Ghostface Killah and Pouya",2016-10-12T14:03:19.000Z,14240418,234625,11250
IDZkdkPHQ00,"joji - rain on me (OFFICIAL)","joji - rain on me",2017-07-19T15:38:10.000Z,13455327,200739,1936
duuL2-atrlM,"Rich Brian - Crisis ft. 21 Savage (Official Video)","Rich Brian - Crisis ft. 21 Savage",2017-12-05T14:30:24.000Z,11923860,245344,5841
GYv92AOLkgY,"RICH BRIAN x ZHU. x SKRILLEX x THEY.  - Working For It (Official Audio)","RICH BRIAN x ZHU. x SKRILLEX x THEY.  - Working For It",2017-02-22T22:17:13.000Z,10068325,142705,2355
W8lrG8PLsuc,"Rich Brian - Who That Be (Official Audio)","Rich Brian - Who That Be",2016-08-09T11:30:01.000Z,9349326,84929,3044
FBIkUV4I1aU,"Rich Brian - watch out!","Rich Brian - watch out!",2018-04-04T14:00:01.000Z,9303713,204081,6201
PmfxQHo_Fy4,"joji - Head in the Clouds ☁☁☁ (official music video)","joji - Head in the Clouds ☁☁☁",2018-07-25T13:04:04.000Z,8419374,142237,2256
MPIpcr6hy94,"Rich Brian ft. Joji - Introvert","Rich Brian ft. Joji - Introvert",2018-02-02T19:03:54.000Z,8165985,123205,1590
LsQCNtCH2sc,"Higher Brothers ft. Keith Ape - WeChat (Official Video)","Higher Brothers ft. Keith Ape - WeChat",2017-05-23T21:45:55.000Z,8083995,94083,4170
xoxCItHxLiM,"Yaeji - Drink I'm Sippin On (Official Music Video)","Yaeji - Drink I'm Sippin On",2017-10-02T14:00:05.000Z,7727094,150100,6337
roEZqhB_V50,"Keith Ape ft. Ski Mask The Slump God - Going Down To Underwater","Keith Ape ft. Ski Mask The Slump God - Going Down To Underwater",2017-04-12T13:58:22.000Z,7632569,117913,2164
SaXyXntLSFQ,"Rich Brian - See Me","Rich Brian - See Me",2018-01-01T17:30:00.000Z,6046330,143098,1436
ltPf3M9UGiM,"Rich Brian - History","Rich Brian - History",2018-07-18T14:00:06.000Z,5560453,101397,990
Y3BcfWvhPbA,"Trippie Redd - Hellboy (Official Music Video)","Trippie Redd - Hellboy",2018-01-29T14:03:42.000Z,5464612,88478,2772
cVxIqlzdx98,"NIKI - Vintage (Official Music Video)","NIKI - Vintage",2018-05-02T13:58:34.000Z,4919512,107042,945
Epka2clixz4,"Joji & BlocBoy JB - Peach Jam (Official Music Video)","Joji & BlocBoy JB - Peach Jam",2018-07-17T13:58:29.000Z,4912052,128643,2905
m9l3_6yNjrs,"Higher Brothers + joji - Nomadic (OFFICIAL MUSIC VIDEO)","Higher Brothers + joji - Nomadic",2017-07-13T05:35:21.000Z,4865719,89993,2626
9QFeSvwqoaU,"Rich Brian ft. 21 Savage - Crisis","Rich Brian ft. 21 Savage - Crisis",2017-11-09T15:00:35.000Z,4741097,130799,2243
8r5vjA_NrK4,"Higher Brothers & Ski Mask the Slump God - Flo Rida (Official Music Video)","Higher Brothers & Ski Mask the Slump God - Flo Rida",2018-01-17T14:57:55.000Z,4434800,98050,4115
Ml90FJK-emo,"Rich Brian ft. Offset - Attention","Rich Brian ft. Offset - Attention",2018-02-02T18:34:46.000Z,4305048,65402,946
_hzhLRVyMl8,"joji - window (music video)","joji - window",2018-01-24T17:46:31.000Z,4280521,167179,3879
ulMHhPHYCi0,"Joji - ATTENTION (Official Audio)","Joji - ATTENTION",2018-10-26T04:00:30.000Z,4264457,60353,651
UjlTEB63iqU,"Keith Ape - Diamonds ft. Jedi P (Official Music Video)","Keith Ape - Diamonds ft. Jedi P",2016-08-11T04:00:01.000Z,3948920,53760,1262
VQUD3msLCOU,"Keith Ape - Fendi ft. K$upreme & Okasian (Music Video) // The Last Orcas pt. 5","Keith Ape - Fendi ft. K$upreme & Okasian",2016-08-24T15:46:37.000Z,3875475,45288,1502
8Vlej7QUGGE,"Joji - NO FUN (Official Audio)","Joji - NO FUN",2018-10-26T04:00:30.000Z,3801913,66000,572
yLS90RD585o,"Joji - WANTED U (Official Video)","Joji - WANTED U",2018-10-29T14:01:23.000Z,3782570,132372,1501
Lg35jIwoWcQ,"joji - medicine","joji - medicine",2017-01-11T05:17:28.000Z,3749446,80653,966
a_Yc8172tRs,"Okasian x Bryan Cha$e ft. Keith Ape - Underwater Bank // The Last Orcas pt 1","Okasian x Bryan Cha$e ft. Keith Ape - Underwater Bank",2016-07-12T13:55:18.000Z,3714731,40823,922
e76qTrz6PlI,"Lexie Liu - Sleep Away (Official Video)","Lexie Liu - Sleep Away",2018-11-29T15:00:09.000Z,3713366,31478,395
YfZPz7okidc,"Higher Brothers - Black Cab (Official Music Video)","Higher Brothers - Black Cab",2016-09-09T02:01:21.000Z,3540259,36575,2642
7QrEkeXZJLg,"Joji - COME THRU (Official Audio)","Joji - COME THRU",2018-10-26T04:00:31.000Z,3370240,34630,370
k0ellsn6cKk,"NIKI - I LIKE U (Official Music Video)","NIKI - I LIKE U",2017-09-27T13:11:17.000Z,3247134,75366,930
GyuzABUV1t8,"HIGHER BROTHERS X J. MAG -  YAHH!  (OFFICIAL MUSIC VIDEO)","HIGHER BROTHERS X J. MAG -  YAHH!",2016-12-22T17:21:40.000Z,3243113,36631,848
z9gVoelEjws,"Joji - WANTED U (Official Audio)","Joji - WANTED U",2018-10-26T04:00:31.000Z,3174768,50815,446
31tpqyCJ0lI,"Phum Viphurit & Higher Brothers - Lover Boy 88 (Official Video)","Phum Viphurit & Higher Brothers - Lover Boy 88",2018-11-01T13:50:32.000Z,3005883,81477,1984
mxyucLe9YE4,"NIKI - lowkey (Official Visualizer)","NIKI - lowkey",2019-04-24T14:00:09.000Z,2807067,141587,1366
DdeXrrQY_Gs,"Rich Brian - Back At It (Official Audio)","Rich Brian - Back At It",2017-04-19T14:20:36.000Z,2772304,65171,697
AwHIYWKvoEE,"Joji ft. Trippie Redd - R.I.P. (Official Audio)","Joji ft. Trippie Redd - R.I.P.",2018-10-26T04:00:29.000Z,2561222,56177,611
iBUnToeuY18,"Joji - XNXX (Official Audio)","Joji - XNXX",2018-10-26T04:00:30.000Z,2480078,42898,461
wwtG_DVqMa4,"Keith Ape - Let Us Prey (Official Music Video) feat Bryan Cha$e","Keith Ape - Let Us Prey  feat Bryan Cha$e",2016-09-26T03:15:50.000Z,2469916,34035,1367
vljirbsjYMc,"Joji - I'LL SEE YOU IN 40 (Official Audio)","Joji - I'LL SEE YOU IN 40",2018-10-26T04:00:30.000Z,2377389,33995,294
p-aihXVfQ-Q,"Okasian x Bryan Cha$e - Walkin (Remix) // The Last Orcas pt. 4","Okasian x Bryan Cha$e - Walkin (Remix)",2016-08-18T04:12:31.000Z,2350459,24930,582
zZ4n0fI23_g,"HYUKOH (혁오) - GOLD (Chet Faker) 🇰🇷 🇰🇷 🇰🇷 88rising","HYUKOH (혁오) - GOLD (Chet Faker) 🇰🇷 🇰🇷 🇰🇷 88rising",2017-07-26T15:20:54.000Z,2322686,48813,377
H-0IVL2scXg,"Rich Brian - Cold","Rich Brian - Cold",2018-02-02T05:00:22.000Z,2314183,56861,599
CX4fG9jLz_o,"Joji - Head In The Clouds (OUT NOW)","Joji - Head In The Clouds",2018-07-20T04:00:02.000Z,2276835,58973,526
4GyVZ-A-q8o,"Higher Brothers - Isabellae (蝴蝶) Prod. by Charlie Heat","Higher Brothers - Isabellae (蝴蝶) Prod. by Charlie Heat",2016-10-19T13:57:35.000Z,2254186,23114,498
23p11nppcyo,"Higher Brothers - Young Master (OFFICIAL MUSIC VIDEO)","Higher Brothers - Young Master",2017-08-01T14:08:30.000Z,2232172,34184,561
VNyGaTO0dU0,"joji - worldstar money","joji - worldstar money",2017-02-06T18:18:38.000Z,1965185,56893,317
FSkNh9oMPUI,"NIKI - See U Never (Official Music Video)","NIKI - See U Never",2017-07-12T01:00:15.000Z,1953035,39703,374
ulEVsd7igGI,"Okasian and KOHH - Save Time (Official) // The Last Orcas pt. 3","Okasian and KOHH - Save Time",2016-08-09T05:30:29.000Z,1945026,29877,366
UhK_YP7jP6o,"HIGHER BROTHERS - OPEN IT UP (OFFICIAL VIDEO)","HIGHER BROTHERS - OPEN IT UP",2019-01-15T15:06:00.000Z,1927699,29985,393
-s-UVW4x2YE,"Yaeji - Feel It Out (Official Video)","Yaeji - Feel It Out",2017-04-04T15:45:56.000Z,1871890,32765,1466
V7SbCqYYWnA,"Keith Ape x Ski Mask TheSlumpGod  - DR. EGGMAN (Prod By. RONNYJLISTENUP)","Keith Ape x Ski Mask TheSlumpGod  - DR. EGGMAN (Prod By. RONNYJLISTENUP)",2016-08-31T16:31:14.000Z,1847894,28932,376
j34eYKFaTcc,"Rich Brian ft. NIKI - Little Prince","Rich Brian ft. NIKI - Little Prince",2018-02-08T01:10:50.000Z,1839827,26810,241
lWgEv4v5Vt8,"Lexie Liu - Nada (Official Video)","Lexie Liu - Nada",2018-12-18T15:00:03.000Z,1837010,18000,611
tuk7BwuCgRI,"NIKI - Warpaint (Official Music Video)","NIKI - Warpaint",2018-07-30T13:40:28.000Z,1765304,17241,232
fD-i3kkqHI8,"Joji - WHY AM I STILL IN LA (ft. Shlohmo & D33J) (Official Audio)","Joji - WHY AM I STILL IN LA (ft. Shlohmo & D33J)",2018-10-26T04:00:30.000Z,1722563,21508,218
liGOhaPoN0o,"Okasian - Get That Money // The Last Orcas pt. 2","Okasian - Get That Money",2016-07-20T23:19:26.000Z,1678596,14937,393
GOF9E2WirfE,"Higher Brothers - 7-11 (Official Music Video)","Higher Brothers - 7-11",2016-12-07T23:39:52.000Z,1638473,18427,435
yIMoDlhjcrU,"Higher Brothers - Room Service (Official Music Video)","Higher Brothers - Room Service",2018-04-05T18:45:30.000Z,1522833,28131,1747
L1aMGMLRaJQ,"Higher Brothers - Steph Curry (Official Video)","Higher Brothers - Steph Curry",2017-12-12T15:00:10.000Z,1471086,26662,1448
Zkj_NHie5LM,"NIKI - Newsflash! (Official Music Video)","NIKI - Newsflash!",2018-05-23T14:00:02.000Z,1462707,32104,299
tK0p6SDyhU4,"NIKI - Dancing with the Devil","NIKI - Dancing with the Devil",2018-05-16T14:00:04.000Z,1446479,29450,472
OhwQuSq3p_E,"Famous Dex, Keith Ape, Verbal - Japan 88 (Official Music Video)","Famous Dex, Keith Ape, Verbal - Japan 88",2018-07-19T13:59:41.000Z,1429014,44776,645
fvRdHaq19qs,"Higher Brothers - One Punch Man ft. Ski Mask the Slump God & Denzel Curry","Higher Brothers - One Punch Man ft. Ski Mask the Slump God & Denzel Curry",2019-02-22T15:00:06.000Z,1401268,62937,1193
h8lhZWPWhZw,"Higher Brothers - Flexing So Hard (Official Music Video)","Higher Brothers - Flexing So Hard",2019-03-14T14:00:37.000Z,1386850,32783,1050
x-tBCkDNd00,"Rich Brian - Enemies","Rich Brian - Enemies",2018-02-04T22:07:25.000Z,1357066,19818,261
3gU_Cj37OwQ,"Higher Brothers - One Punch Man feat. Ski Mask the Slump God & Denzel Curry (Lyric Video)","Higher Brothers - One Punch Man feat. Ski Mask the Slump God & Denzel Curry",2019-02-22T05:00:01.000Z,1337437,52918,508
xWMRKIkdG2A,"NIKI - Chilly","NIKI - Chilly",2017-12-18T14:59:13.000Z,1319799,26522,196
sdElvDlG1dE,"Rich Brian ft. AUGUST 08 - Arizona 🌵🌵🌵","Rich Brian ft. AUGUST 08 - Arizona 🌵🌵🌵",2018-02-03T10:27:24.000Z,1305637,20244,335
uGt8ecxf3Co,"Bohan Phoenix x Higher Brothers - No Hook (OFFICIAL MUSIC VIDEO)","Bohan Phoenix x Higher Brothers - No Hook",2017-07-04T15:00:07.000Z,1272424,24908,526
QrFagM58ang,"Higher Brothers - 16 Hours (Official Video)","Higher Brothers - 16 Hours",2018-12-11T15:00:42.000Z,1249707,21071,462
1vM6JwWO2A0,"Higher Brothers & Ski Mask the Slump God - Flo Rida","Higher Brothers & Ski Mask the Slump God - Flo Rida",2017-11-16T15:04:02.000Z,1242991,38652,905
nL6aoNg6UHc,"MaSiWei - Refresh (Official Video)","MaSiWei - Refresh",2017-12-25T19:00:01.000Z,1237310,33355,560
WbLxVRhhMeI,"Lexie Liu - Hat Trick (Official Video)","Lexie Liu - Hat Trick",2019-01-24T12:12:18.000Z,1216011,10194,171
5kxDuWzBrKQ,"The Kinjaz x Rich Brian - Who That Be // Freestyle Dance Video","The Kinjaz x Rich Brian - Who That Be",2016-09-06T07:03:59.000Z,1175124,20228,405
wzqUb5iORAE,"Higher Brothers & BlocBoy JB - Let It Go (Official Music Video) (Prod. Falcons)","Higher Brothers & BlocBoy JB - Let It Go  (Prod. Falcons)",2018-07-10T14:00:04.000Z,1138795,34071,599
nrGyQNEtHnI,"Higher Brothers - Trickery (OFFICIAL MUSIC VIDEO)","Higher Brothers - Trickery",2018-02-19T03:33:08.000Z,1091415,25218,1260
0EauGLquTDY,"NIKI - Spell (Official Music Video)","NIKI - Spell",2018-06-13T14:00:13.000Z,1078127,33597,302
C85XMiwA8UE,"Dua Lipa x Rich Brian x Diablo - IDGAF","Dua Lipa x Rich Brian x Diablo - IDGAF",2018-05-09T13:00:02.000Z,1004495,36624,405
LDO-ioPN7HA,"Joji & NIKI - La Cienega ☁ 88rising's Head in the Clouds","Joji & NIKI - La Cienega ☁ 88rising's Head in the Clouds",2018-07-21T15:57:59.000Z,1003242,27490,247
ctKii2-u_T8,"Higher Brothers ft. Jay Park - Franklin (Official Music Video)","Higher Brothers ft. Jay Park - Franklin",2017-06-06T14:55:30.000Z,957731,20436,698
EU6JEf5VEEE,"Higher Brothers - Wudidong (OFFICIAL MUSIC VIDEO)","Higher Brothers - Wudidong",2017-08-08T16:04:45.000Z,955667,19798,482
ad8sZx5Dx08,"Higher Brothers  x J Mag - WORKIN (OFFICIAL MUSIC VIDEO)","Higher Brothers  x J Mag - WORKIN",2017-06-29T08:13:38.000Z,933833,24220,361
N85Y9ZotZws,"Rich Brian - Flight","Rich Brian - Flight",2018-02-06T18:29:15.000Z,829499,12805,142
HrMtxR8ShGE,"Lexie - Like A Mercedes (Official Video)","Lexie - Like A Mercedes",2018-06-19T14:44:57.000Z,797278,19277,374
GjQEWj-gL-E,"Rich Brian - Kitty","Rich Brian - Kitty",2018-02-06T18:24:49.000Z,794192,18572,211
JWF-tqXt7k0,"Higher Brothers - Zombie feat. Rich Brian (prod. Joji)","Higher Brothers - Zombie feat. Rich Brian (prod. Joji)",2019-02-22T05:00:01.000Z,787299,28370,415
BbRIeo-H3UU,"Rich Brian - Trespass","Rich Brian - Trespass",2018-02-09T19:10:25.000Z,774619,11303,116
Dw7mvR3N5wQ,"Uno the Activist ft. Yung Gleesh + Keith Ape - BOTH WAYS (Official Music Video)","Uno the Activist ft. Yung Gleesh + Keith Ape - BOTH WAYS",2016-11-21T02:35:58.000Z,692515,7505,429
T_p3_GSHvtc,"Rich Brian - Occupied","Rich Brian - Occupied",2018-02-08T17:09:20.000Z,688022,11070,113
