OBJECTID,FID_,STOP_ID,LOCATION,BUS_ZONE_T,LENGTH,POSITION,NUB_PARKIN,PARKINGTYP,LATITUDE,LONGITUDE,ARTERIAL,ZONE_HOURS,STATUS,CURRENTSTO,PILOTSTOPE,CREATIONDA,LABEL_PLAC,DECAL_WORK,SIGN_WORK,PAINT_WORK,WORK_ORDER,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
8,,3197,"7th St&Townsend St NW corner, far-side stop",MuniZone,125,Farside,0,Bus,37.7722,-122.40201,Y,,Rescinded,6,16,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77219005774664, -122.40198358472426)",32,1,10,34
5,,20048,"Mission St & Steuart St SE corner, mid-block",WhiteZone,145,Mid-block,7,Meter,37.79286,-122.393488,Y,AM PM,Approved,0,,6/21/17,,,,,,"(37.79282429042649, -122.39349522660083)",108,1,10,8
102,,5467,"North Point St & Mason St SE corner, far-side stop",MuniZone,85,Farside,0,Bus,37.80655,-122.41336,Y,,Approved,,,12/4/17,ExistingPole,Landor,,,,"(37.80651966375849, -122.41345506002575)",99,6,3,23
130,,4433,"Divisadero St & Pine St SW corner, far-side",PeakExtensionZone,70-115,Farside,2,Meter,37.786904,-122.44034,Y,AM,Approved,,,11/20/17,,,,,,"(37.786975764327025, -122.44027992928731)",103,4,6,30
127,,20050,"Broadway & Osgood Pl SE corner, far-side stop",WhiteZone,80,Farside,4,Meter,37.798261,-122.402895,Y,AM PM,Approved,,,12/4/17,,,,,,"(37.79825613066689, -122.40290379556318)",106,6,3,23
112,,40019,"Charles J Brenham Pl & Market St NE corner, far-side stop",MuniZone,140,Farside,0,Bus,37.780783,-122.412754,Y,,Approved,,,,,,,,,"(37.780741297825855, -122.41271357212898)",20,5,10,36
100,,3612,"Cyril Magnin St & Market St, NW corner, near-side stop",MuniZone,150,Nearside,0,Bus,37.784149,-122.408388,Y,,Approved,,,10/23/19,,,,,,"(37.7840190452284, -122.40822945841919)",19,5,10,36
125,,20051,"Broadway & Front St NW corner, far-side stop",WhiteZone,80,Farside,4,Meter,37.798825,-122.400155,Y,AM PM,Approved,,,12/11/17,,,,,,"(37.79878414541333, -122.40003028293154)",77,6,3,8
89,,3543,"30th St&Sanchez St NE corner, near-side stop",MuniZone,75,Nearside,0,,37.74202,-122.4286,N,,Rescinded,0,31,Pilot,ExistingPole,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.74201505917384, -122.42858678724089)",84,9,5,22
36,,4715,"Frederick St&Ashbury St NW corner, far-side stop",MuniZone,80,Farside,0,,37.76721,-122.4467,N,,Rescinded,0,21,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76720505842064, -122.44668678162293)",25,7,11,3
142,,20038,"South Van NessAve&Mission St SW corner, white zone, 6-10am",WhiteZone,244 to 440 feet south,Mid-block,6,Meter,37.77157,-122.41838,Y,AM,Approved,32,0,6/20/16,,,,,,"(37.77156005999376, -122.41835357935032)",32,1,10,20
131,,6833,"Van Ness Ave&Union St SE corner, near-side stop",PeakExtensionZone,112,Nearside,1,RPP,37.79879,-122.423897,Y,PM,Approved,117,69,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.798402403187566, -122.42386573041284)",105,4,6,32
123,,3735,"Bryant St&18th St SE corner, near-side stop",MuniZone,85,Nearside,0,Bus,37.76167,-122.41004,N,,Approved,4,0,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.76166006020052, -122.41001358374345)",53,3,9,20
81,,6121,"Portola Dr&Teresita Blvd NE corner, far-side stop",MuniZone,FLAG STOP,Farside,0,,37.74532,-122.4519,Y,,Rescinded,0,0,Pilot,Shelter (old),Remove,,,03/18/2016 12:00:00 AM +0000,"(37.74531506060083, -122.45188678338039)",72,9,8,41
120,,20047,"Gough St&Geary Blvd SW corner, white zone, 6-10am",WhiteZone,135,Farside,6,RPP,37.78488,-122.42469,Y,AM,Approved,89,0,11/21/16,,,,,,"(37.78487005835907, -122.4246635748643)",100,4,11,39
55,,6003,"Polk St&Union St NE corner, far-side stop",MuniZone,70,Farside,0,Bus,37.79904,-122.42232,Y,,Rescinded,0,3,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.799035054021516, -122.4223067815723)",107,4,6,32
113,,20056,"South Van Ness Ave, east side, mid-block north of 17th St, white zone, 4-10pm",WhiteZone,85,Mid-block,4,Unreg,37.764219,-122.417264,Y,PM,Approved,,,6/26/19,,,,,,"(37.76413685852678, -122.41728098537052)",53,3,2,20
20,,3352,"19th Ave&Buckingham St NW corner, near-side stop",MuniZone,80,Nearside,0,Bus,37.72587,-122.4752,Y,,Approved,18,20,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.72586007589858, -122.4751735731544)",41,10,8,16
46,,20018,"Van Ness Ave&Sacramento St SW corner, white zone, 6-10am",WhiteZone,89,Farside,4,Meter,37.79116,-122.42259,Y,AM,Rescinded,0,102,Pilot,ExistingPole,,,,03/10/2016 12:00:00 AM +0000,"(37.791155054689455, -122.42257678244685)",102,4,3,21
84,,5001,"Hayes St&Masonic Ave NW corner, far-side stop",MuniZone,75,Farside,0,,37.77393,-122.44651,N,,Rescinded,0,20,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.77392505785421, -122.44649678087254)",24,7,11,18
103,,4431,"Divisadero St&Oak St NE corner, far-side stop",MuniZone,80,Farside,0,Bus,37.77346,-122.43738,Y,,Approved,70,56,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.773450063225546, -122.43735357329288)",26,4,11,9
30,,3726,"Bryant St&7th St SE corner, far-side stop",MuniZone,80,Farside,0,Bus,37.77438,-122.40449,Y,,Approved,23,12,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77437005774809, -122.40446358310085)",32,1,10,34
115,,20034,"Brannan St&4th St NW corner, white zone, 6-10am, 4-8pm",WhiteZone,32 to 153 feet west,Farside,6,Meter,37.77769,-122.39744,Y,AM PM,Approved,42,0,5/23/16,,,,White Zone,04/19/2016 12:00:00 AM +0000,"(37.77768005496055, -122.39741358477136)",32,1,10,34
124,,20009,"Harrison St&The Embarcadero SW corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.789306,-122.388694,Y,,Approved,61,78,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.78944005235221, -122.38866358371631)",30,1,10,8
152,,20046,"San Jose Ave&Valley St SW corner, white zone, 6-10am",WhiteZone,23 to 130 feet south,Farside,6,RPP,37.74436,-122.42269,Y,AM,Approved,48,0,10/11/16,,,,,,"(37.744350064549586, -122.42266358385578)",84,9,5,22
74,,3461,"24th St&Church St SW corner, near-side stop, OFF-PEAK ONLY",MuniZone,90,Nearside,0,Bus,37.75164,-122.42759,Y,,Approved,81,37,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.75163006430715, -122.4275635822818)",84,3,5,22
148,,6691,"Townsend St&3rd St, SE corner, far-side stop",MuniZone,73,Farside,0,Bus,37.77893,-122.39253,N,,Approved,8,23,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77892005549977, -122.39250358536195)",31,1,10,4
15,,20002,"Divisadero St&Geary Blvd SW corner, shuttle zone south of stop, 6-10am",WhiteZone,70,Farside,3,RPP,37.78317,-122.43957,Y,AM,Approved,27,34,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.78316006058695, -122.43954356983996)",13,4,11,39
13,,4968,"Harrison St&4th St NW corner, far-side stop",MuniZone,119,Farside,0,Bus,37.78061,-122.39999,Y,,Approved,2,2,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.780600055906206, -122.3999635830515)",32,1,10,34
104,,3374,"19th Ave&Noriega St SE corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.75412,-122.47629,Y,,Approved,10,8,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75411007065573, -122.47626356572597)",44,10,8,14
50,,6124,"Post St&Gough St SW corner, near-side stop",MuniZone,50,Nearside,0,Bus,37.78612,-122.42498,N,,Rescinded,0,12,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78611505527877, -122.42496678267457)",100,4,11,15
141,,20044,"Lombard St&Scott St SE corner, white zone, 6-10am",WhiteZone,144,Farside,5,Meter,37.79916,-122.44056,Y,AM,Approved,104,0,9/12/16,,,,,,"(37.799150058344964, -122.4405335658361)",14,4,6,13
85,,20053,"Bush St & Larkin St SE corner, far-side, 6-10am",WhiteZone,80,Farside,4,Meter,37.788839,-122.41843,Y,AM,Approved,,,1/29/18,,,,,,"(37.78882215257333, -122.41836123734754)",50,6,3,21
158,,4966,"Harrison St&2nd St NW corner, far-side stop",MuniZone,80,Farside,0,Bus,37.78415,-122.39551,Y,,Approved,14,0,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.78414005428724, -122.39548358331095)",32,1,10,8
65,,3331,"18th St&Dolores St SE corner, far-side stop",MuniZone,55,Farside,0,,37.76138,-122.42631,N,,Rescinded,0,22,Pilot,NewLandor,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76137505741216, -122.4262967853432)",37,3,5,5
38,,20012,"Powell St&Union St NW corner, white zone, 6-10am",WhiteZone,129,Nearside,6,Meter,37.8003,-122.41088,N,AM,Rescinded,0,42,Pilot,New,,,Remove Zone,04/19/2016 12:00:00 AM +0000,"(37.80029505308133, -122.41086678313583)",107,6,3,6
35,,5260,"Laguna St&Hayes St NE corner, far-side stop",MuniZone,75,Farside,0,,37.77675,-122.42627,N,,Rescinded,0,7,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.77674505614401, -122.4262567825685)",22,4,11,9
118,,4328,"Castro St&25th NW corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.74981,-122.43404,N,,Approved,8,72,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.74980006592828, -122.43401357853011)",84,3,5,22
83,,6799,Van Ness Ave&California St NE-FS/BZ,MuniZone,100,Farside,0,,37.79076,-122.42225,Y,,Rescinded,0,97,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.7907550546975, -122.42223678254406)",105,4,3,21
99,,5993,"Polk St&O'Farrell St NW corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.78507,-122.41964,Y,,Rescinded,16,3,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.785060057974434, -122.4196135765969)",20,4,10,36
150,,20036,"Franklin St&Bush St NE corner, white zone, 4-8pm",WhiteZone,100,Farside,5,Meter,37.78852,-122.423569,Y,PM,Approved,104,0,6/6/16,,,,,,"(37.78851005697766, -122.42354257360948)",100,4,6,39
9,,5896,"Parnassus Ave&Stanyan St SW corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.76445,-122.4527,Y,,Approved,5,4,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.7644400660851, -122.45267357104949)",110,7,11,14
95,,3778,"Bayshore Blvd& Cortland Ave NE corner, far-side stop",MuniZone,100,Farside,0,,37.73986,-122.40677,Y,,Rescinded,0,0,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.73985505776075, -122.4067567907524)",82,2,9,1
151,,20028,"Gough St&Grove St SW corner, white zone, 6-10am",WhiteZone,80,Farside,4,Meter,37.77777,-122.42334,Y,AM,Approved,31,0,5/23/16,,,,White Zone,04/19/2016 12:00:00 AM +0000,"(37.777760058845544, -122.42331357689055)",22,4,11,9
25,,20037,"Franklin St&Golden Gate Ave NE corner, white zone, 4-8pm",WhiteZone,55 to 181 feet north,Farside,3,Meter,37.78109,-122.42205,Y,PM,Approved,64,0,6/6/16,,,,,,"(37.781080059478015, -122.42202357569833)",100,4,11,39
11,,4848,"Larkin St&Grove St NE corner, far-side stop",MuniZone,80,Farside,0,Bus,37.77871,-122.41659,Y,,Approved,2,13,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.77870005827517, -122.41656357779024)",21,5,10,36
47,,4486,"Eddy St&Mason St SW corner, near-side stop",MuniZone,120,Nearside,0,,37.7843,-122.40943,N,,Rescinded,0,0,Pilot,ExistingPole,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.78429505429237, -122.40941678520964)",20,5,10,36
137,,3471,"24th St&Guerrero St NE corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.75202,-122.42273,Y,,Approved,10,13,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75201006392139, -122.42270358196387)",52,3,5,20
108,,3931,"Cesar Chavez St&Folsom St NW corner, far-side stop",MuniZone,100,Farside,0,Bus,37.74834,-122.41407,Y,,Approved,25,24,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.748330063593095, -122.41404358568354)",53,3,2,20
144,,5895,"Parnassus Ave&Stanyan St NW corner, far-side stop",MuniZone,60,Farside,0,Bus,37.76452,-122.45289,Y,,Approved,4,4,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.764510066093216, -122.45286357101307)",110,7,11,14
149,,3743,"Bryant St&22nd St SW corner, far-side stop",MuniZone,75,Farside,0,Bus,37.75572,-122.40949,N,,Approved,6,9,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.75571006165076, -122.40946358551435)",53,3,2,20
117,,3366,"19th Ave&Kirkham St NE corner, far-side stop",MuniZone,75,Farside,0,Bus,37.76015,-122.47671,Y,,Approved,33,39,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.76014007019099, -122.47668356596526)",109,10,8,14
78,,5191,"Judah St&7th Ave NW corner, far-side stop",MuniZone,75,Farside,0,,37.76231,-122.46436,Y,,Rescinded,0,0,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76230506011269, -122.46434677955479)",109,10,11,14
111,,3292,"16th St&Mission SE corner, far-side stop",MuniZone,85,Farside,0,Bus,37.76502,-122.41928,Y,,Approved,41,9,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.76501006159884, -122.41925358097458)",53,3,2,20
156,,20011,"Fell St&Pierce St NE corner, white zone, 9:30-8pm",WhiteZone,160,Nearside,8,RPP,37.77452,-122.43418,Y,PM,Approved,35,11,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.77451006090467, -122.43415357464794)",23,4,11,9
145,,4329,"Castro St&25th SE corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.7496,-122.43383,N,,Approved,7,40,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.749590065930214, -122.43380357958576)",84,3,5,22
75,,4476,"Eddy St&Fillmore St SW corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.78137,-122.43244,N,,Rescinded,1,2,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78136505621459, -122.43242678211108)",97,4,11,39
110,,20039,"Brannan St&5th St SE corner, white zone, 6-10am, 4-8pm",WhiteZone,85,Farside,3,Meter,37.77671,-122.39845,Y,AM PM,Approved,27,0,6/20/16,,,,,,"(37.77670005611509, -122.39842358373393)",32,1,10,34
82,,20006,"Church St&Market St NE corner, white zone, 6-10am, 4-8pm",WhiteZone,80,Farside,4,RPP,37.76812,-122.42899,N,AM PM,Rescinded,0,42,Pilot,New,,,Remove Zone,04/19/2016 12:00:00 AM +0000,"(37.768115057052924, -122.42897678416223)",28,7,5,5
80,,3330,"18th St&Dolores St NW corner, far-side stop",MuniZone,75,Farside,0,,37.76145,-122.42652,N,,Rescinded,0,35,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76144505742177, -122.4265067853037)",37,3,5,5
146,,3367,"19th Ave&Kirkham St NW corner, near-side stop",PeakExtensionZone,65,Nearside,2,Unreg,37.75995,-122.47695,Y,AM,Approved,42,18,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75994007022494, -122.47692356395261)",39,10,7,35
68,,5843,"Pacific Ave&Larkin St NE corner, near-side stop",MuniZone,FLAG STOP,Nearside,0,,37.7953,-122.41983,N,,Rescinded,0,0,Pilot,NewLandor,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.79529505414711, -122.41981678237867)",16,6,3,32
61,,20035,"Gough St&Bush St SW corner, white zone, 6-10am UNDER 35 FT ONLY",WhiteZone,78,Farside,4,RPP,37.78796,-122.425311,Y,AM,Rescinded,17,0,6/6/16,,,,,,"(37.78795005815102, -122.42528457441418)",100,4,11,30
12,,6694,"Townsend St&4th St NE corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.77726,-122.39491,N,,Approved,31,50,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77725005481125, -122.39488358619957)",32,1,10,34
107,,3196,"7th St&Market St SW corner, street island",MuniZone,40,Nearside,0,Bus,37.78041,-122.41231,Y,,Rescinded,18,16,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.78040005782254, -122.41228357923283)",32,5,10,34
153,,20042,"Cesar Chavez St&Bartlett St NW corner, white zone, 6-10am, 4-8pm",WhiteZone,135,Farside,5,Meter,37.74824,-122.41949,Y,AM PM,Approved,51,0,8/22/16,,,,,,"(37.74823006399656, -122.41946358488521)",53,3,2,20
59,,4346,"Davis St&California St NW corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.79363,-122.3977,N,,Rescinded,0,0,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.79362505266688, -122.39768678588095)",108,6,3,8
56,,3323,"18th St&Church St SE corner, far-side stop",MuniZone,75,Farside,0,,37.76127,-122.42795,N,,Rescinded,0,17,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76126505754094, -122.42793678511094)",37,3,5,5
3,,6879,"Valencia St&25th St SW corner, far-side stop",MuniZone,81,Farside,0,Bus,37.75028,-122.42059,Y,,Approved,30,46,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75027006390864, -122.42056358248486)",53,3,5,20
4,,20010,"Howard St&Fremont St NE corner, near-side stop",MuniZone,67,Nearside,0,Bus,37.78933,-122.39506,Y,,Rescinded,64,11,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.78932005382759, -122.39503358177737)",32,1,10,8
17,,20041,"Mississippi St&17th St NE corner, white zone, 6-10am, 4-8pm",WhiteZone,90,Farside,4,Unreg,37.76554,-122.39479,Y,AM PM,Approved,18,0,6/20/16,,,,,,"(37.76553005676863, -122.39476358757541)",54,1,9,4
51,,3338,"18th St&Mission St NW corner, far-side stop",MuniZone,75,Farside,0,,37.76186,-122.41977,N,,Rescinded,0,3,Pilot,ExistingPole,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76185505689542, -122.41975678626477)",53,3,2,20
1,,3401,"19th Ave&Wawona St SE corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.73734,-122.47515,Y,,Approved,41,16,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.73733007395177, -122.47512357083679)",46,10,8,41
19,,3478,"24th St&Noe St NE corner, near-side stop",MuniZone,70,Nearside,0,Bus,37.75148,-122.43172,Y,,Approved,1,13,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75147006462155, -122.43169357968338)",84,3,5,22
129,,20003,"16th St&Shotwell St NW corner, white zone, 6-10 am, 4-10pm",WhiteZone,88,Farside,3,Meter,37.765354,-122.416703,Y,AM PM,Rescinded,85,48,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.76526833239241, -122.41671671932377)",53,3,2,20
24,,6040,"Potrero Ave&25th St, SE corner, near-side stop",MuniZone,110,Nearside,0,Bus,37.75164,-122.40608,Y,,Approved,5,1,Pilot,Landor (vandalized),Landor,,,03/10/2016 12:00:00 AM +0000,"(37.751630061738425, -122.40605358749606)",54,3,9,20
157,,4971,"Harrison St&7th St NW corner, far-side stop",MuniZone,80,Farside,0,Bus,37.77567,-122.40626,Y,,Approved,4,0,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77566005777105, -122.40623358168675)",32,1,10,34
72,,20049,"24th St & Church St SE corner, far-side, 6-10am",WhiteZone,113,Farside,5,Meter,37.75166,-122.42714,Y,AM,Approved,,,9/25/17,,,,,,"(37.75165160528342, -122.42726288032421)",52,3,5,22
71,,3209,"8th St & Market St SW corner, far-side stop",MuniZone,166,Farside,0,Bus,37.778507,-122.414582,Y,,Approved,37,103,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.77830872015082, -122.41442063415587)",32,5,10,34
114,,3541,"30th St & Mission St, SW Corner near-side stop, UNDER 35 FT ONLY",MuniZone,105,Nearside,0,Bus,37.742347,-122.422184,N,,Approved,,,,,,,,,"(37.74230203568314, -122.42218006616476)",83,9,2,2
41,,5012,"Hayes St&Steiner St SE corner, far-side stop",MuniZone,75,Farside,0,,37.77563,-122.43248,N,,Rescinded,0,50,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.775625056689705, -122.43246678377062)",23,4,11,9
2,,4415,"Divisadero St&Eddy St SW corner, far-side stop",MuniZone,100,Farside,0,Bus,37.78023,-122.43896,Y,,Approved,32,16,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.78022006178409, -122.43893357127202)",13,4,11,39
